"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","test"
"551",7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,TRUE
"552",6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7,TRUE
"553",5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5,TRUE
"554",6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7,TRUE
"555",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,TRUE
"556",6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,TRUE
"557",7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,TRUE
"558",6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,TRUE
"559",6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6,TRUE
"560",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,TRUE
"561",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,TRUE
"562",7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,6,TRUE
"563",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,TRUE
"564",7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,TRUE
"565",7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5,TRUE
"566",9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,6,TRUE
"567",7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2,6,TRUE
"568",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,TRUE
"569",8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,TRUE
"570",6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2,5,TRUE
"571",6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,TRUE
"572",6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8,TRUE
"573",6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6,TRUE
"574",5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,TRUE
"575",6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7,TRUE
"576",7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7,TRUE
"577",6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,TRUE
"578",7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8,TRUE
"579",6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,6,TRUE
"580",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,TRUE
"581",7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7,TRUE
"582",7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7,TRUE
"583",6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,TRUE
"584",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,TRUE
"585",9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4,TRUE
"586",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,TRUE
"587",8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6,TRUE
"588",8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5,TRUE
"589",5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,TRUE
"590",6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,TRUE
"591",7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7,TRUE
"592",7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,TRUE
"593",6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6,TRUE
"594",6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,5,TRUE
"595",6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5,TRUE
"596",7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,7,TRUE
"597",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,TRUE
"598",6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,TRUE
"599",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,TRUE
"600",5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,7,TRUE
